,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
385,palora,75.0,EC,1613395444,88.0,-1.7,-77.9333,68.0,4.61
386,lgov,100.0,RU,1613395444,95.0,51.6307,35.2775,11.48,3.74
387,inhambane,75.0,MZ,1613395445,83.0,-23.865,35.3833,82.4,13.8
388,husavik,20.0,IS,1613395445,75.0,66.0449,-17.3389,39.2,5.75
389,saint-pierre,75.0,PM,1613395445,69.0,46.7654,-56.1695,30.2,14.97
390,biltine,0.0,TD,1613395446,9.0,14.5333,20.9167,98.4,10.83
391,kijang,20.0,ID,1613395446,69.0,0.9,104.6333,80.6,8.05
392,polunochnoye,80.0,RU,1613395446,90.0,60.8697,60.4153,-14.78,3.62
393,jurm,0.0,AF,1613395447,66.0,36.8648,70.8342,37.24,3.56
394,puerto del rosario,0.0,ES,1613395447,46.0,28.5004,-13.8627,71.6,6.91
396,sola,20.0,VU,1613395447,100.0,-13.8833,167.55,78.8,18.03
397,aktash,46.0,RU,1613395447,82.0,50.3,87.7333,8.53,4.88
399,valday,9.0,RU,1613395448,92.0,57.9747,33.2525,3.31,5.21
401,kattivakkam,20.0,IN,1613395448,65.0,13.2167,80.3167,78.8,9.22
402,matay,0.0,EG,1613395206,21.0,28.419,30.7792,72.79,10.33
403,buala,95.0,SB,1613395449,82.0,-8.145,159.5921,80.73,5.91
404,fredericton,1.0,CA,1613395318,79.0,45.9454,-66.6656,12.0,2.86
407,udachnyy,98.0,RU,1613395449,81.0,66.4167,112.4,-32.17,7.7
408,bathsheba,20.0,BB,1613395449,54.0,13.2167,-59.5167,82.4,23.02
409,kontagora,0.0,NG,1613395450,7.0,10.3999,5.4695,103.93,4.36
410,lunglei,0.0,IN,1613395450,41.0,22.8833,92.7333,59.59,2.08
411,kiria,20.0,GR,1613395450,31.0,41.1,24.2833,42.8,8.05
412,yeppoon,40.0,AU,1613395451,69.0,-23.1333,150.7333,77.0,8.05
413,isiro,100.0,CD,1613395451,21.0,2.7739,27.616,96.17,4.56
414,rochefort,98.0,FR,1613395451,71.0,45.9167,-1,55.99,17.27
416,grootfontein,72.0,NA,1613395451,52.0,-19.5667,18.1167,78.73,4.56
417,vardo,75.0,NO,1613395452,69.0,70.3705,31.1107,28.4,13.8
418,mamallapuram,20.0,IN,1613395452,65.0,12.6264,80.1722,78.8,9.22
419,arman,100.0,RU,1613395453,81.0,59.7,150.1667,-6.03,6.76
420,naze,1.0,JP,1613395337,79.0,28.3667,129.4833,57.34,17.29
421,soure,99.0,BR,1613395453,82.0,-0.7167,-48.5233,80.8,11.56
423,burdeos,96.0,PH,1613395391,87.0,14.8436,121.9697,74.34,10.56
424,yaritagua,75.0,VE,1613395454,83.0,10.08,-69.1261,73.4,3.44
425,xinglongshan,0.0,CN,1613395454,71.0,43.9561,125.4661,1.4,4.47
426,guaratingueta,40.0,BR,1613395455,69.0,-22.8164,-45.1925,80.6,4.61
427,port augusta,0.0,AU,1613395455,68.0,-32.5,137.7667,77.0,6.91
428,lichinga,40.0,MZ,1613395455,61.0,-13.3128,35.2406,80.6,9.22
429,mabaruma,40.0,GY,1613395456,89.0,8.2,-59.7833,78.8,6.91
430,katangli,99.0,RU,1613395456,97.0,51.7102,143.2326,11.8,9.71
431,ekibastuz,100.0,KZ,1613395456,95.0,51.6667,75.3667,28.45,7.99
433,goldsboro,90.0,US,1613395453,93.0,35.3849,-77.9928,37.99,6.91
434,terra santa,100.0,BR,1613395457,94.0,-2.1042,-56.4869,76.66,1.16
435,capim grosso,100.0,BR,1613395312,55.0,-11.3811,-40.0128,80.67,3.69
436,pokhara,96.0,NP,1613395271,65.0,28.2333,83.9833,57.72,5.17
438,sfantu gheorghe,99.0,RO,1613395457,80.0,45.8667,25.7833,28.0,14.09
439,sarangani,90.0,PH,1613395389,76.0,5.4033,125.4636,82.74,11.25
440,belyy yar,93.0,RU,1613395458,92.0,53.6039,91.3903,14.0,0.4
441,seymchan,25.0,RU,1613395458,83.0,62.8833,152.4333,-29.81,1.1
442,sao sebastiao,12.0,BR,1613395459,53.0,-23.76,-45.4097,88.14,1.95
443,tubuala,20.0,PA,1613395459,83.0,9.5167,-79.0333,77.0,2.3
444,saverne,90.0,FR,1613395460,69.0,48.8333,7.25,39.2,6.91
445,belmonte,20.0,BR,1613395460,70.0,-15.8631,-38.8828,86.0,9.22
446,vila franca do campo,20.0,PT,1613395460,58.0,37.7167,-25.4333,57.2,19.57
447,maralal,70.0,KE,1613395461,46.0,1.0968,36.698,74.59,14.03
448,santo antonio do monte,100.0,BR,1613395461,81.0,-20.0872,-45.2936,74.16,5.28
449,opuwo,91.0,NA,1613395461,16.0,-18.0607,13.84,89.8,7.29
450,salalah,0.0,OM,1613395462,57.0,17.0151,54.0924,78.8,9.22
451,murgab,0.0,TM,1613395462,30.0,37.4966,61.9714,71.6,6.91
452,kamiiso,100.0,JP,1613395283,94.0,41.8167,140.65,41.79,4.9
453,vertientes,1.0,CU,1613395462,100.0,21.2594,-78.1464,68.0,5.75
454,laguna,0.0,BR,1613395463,57.0,-28.4825,-48.7808,78.64,4.23
455,qinzhou,68.0,CN,1613395463,63.0,21.95,108.6167,68.43,4.88
456,bonfim,20.0,BR,1613395463,78.0,3.0833,-59.95,78.8,13.8
457,dubai,0.0,AE,1613395328,60.0,25.2582,55.3047,77.0,14.97
458,shumskiy,100.0,RU,1613395464,91.0,54.8318,99.1328,1.47,4.18
459,jieshi,0.0,CN,1613395464,59.0,22.8134,115.8257,70.0,13.56
460,innisfail,100.0,AU,1613395465,87.0,-17.5333,146.0333,78.76,7.96
461,teguise,0.0,ES,1613395465,60.0,29.0605,-13.564,71.6,3.44
462,vilkija,75.0,LT,1613395465,58.0,55.05,23.5833,24.8,5.75
463,vamvakou,20.0,GR,1613395466,60.0,39.3333,22.4167,37.4,17.27
464,tshikapa,97.0,CD,1613395466,48.0,-6.4167,20.8,94.69,0.67
465,muisne,75.0,EC,1613395466,100.0,0.6,-80.0333,77.0,6.91
466,gunjur,0.0,GM,1613395467,18.0,13.2019,-16.7339,95.0,6.91
467,monrovia,19.0,LR,1613395467,70.0,6.3005,-10.7969,85.17,6.67
468,ulu tiram,20.0,MY,1613395467,78.0,1.6,103.8167,78.8,3.44
469,antigonish,99.0,CA,1613395468,77.0,45.6169,-61.9986,25.0,1.01
470,adelaide,0.0,AU,1613395351,40.0,-34.9333,138.6,72.0,1.14
471,catuday,5.0,PH,1613395468,84.0,16.2923,119.8062,75.87,11.01
472,washington,100.0,US,1613395429,92.0,47.5001,-120.5015,21.99,1.57
473,tanete,100.0,ID,1613395470,77.0,-3.9443,119.7848,78.87,3.31
474,bichena,83.0,ET,1613395470,23.0,10.45,38.2,76.1,6.82
475,lixourion,40.0,GR,1613395470,49.0,38.2019,20.4314,42.8,14.97
476,diglur,8.0,IN,1613395471,20.0,18.55,77.6,82.89,4.76
477,semporna,20.0,MY,1613395471,89.0,4.4818,118.6112,78.8,10.16
478,honiara,100.0,SB,1613395471,81.0,-9.4333,159.95,79.2,2.44
479,majene,98.0,ID,1613395471,80.0,-3.5403,118.9707,78.98,3.62
481,zyryanka,12.0,RU,1613395472,83.0,65.75,150.85,-26.19,4.05
